Francisco Cerundolo:1998.58
Donald Young:1989.5
Igor Kunitsyn:1981.67
Horacio Zeballos:1985.25
Simon Greul:1981.25
Mikael Ymer:1998.67
Marco Chiudinelli:1981.67
Jim Pugh:1964.08
Juan Gisbert Jr:1974.25
Bryan Shelton:1965.92
Michiel Schapers:1959.75
Robin Vik:1980.08
Tore Meinecke:1967.5
Ricardas Berankis:1990.42
Kristian Pless:1981.08
Olivier Mutis:1978.08
Diego Hartfield:1981.0
Diego Nargiso:1970.17
Federico Delbonis:1990.75
Oliver Fernandez:1972.92
Mario Martinez:1961.67
Nikoloz Basilashvili:1992.08
Mathieu Montcourt:1985.17
Sammy Giammalva Jr:1963.17
Jimmy Brown:1965.25
Markus Zillner:1970.17
Mark Koevermans:1968.08
Ricardo Mello:1980.92
Michael Westphal:1965.08
Jimmy Wang:1985.08
Tom Okker:1944.08
Frantisek Cermak:1976.83
Simon Stadler:1983.5
Laurence Tieleman:1972.83
Pieter Aldrich:1965.67
Martin Sinner:1968.08
Lars Burgsmuller:1975.92
Brian Macphie:1972.33
Andrea Stoppini:1980.08
Joao Sousa:1989.17
Arthur Cazaux:2002.58
Mackenzie Mcdonald:1995.25
Neville Godwin:1975.0
Harel Levy:1978.58
Jeff Morrison:1979.08
John Alexander:1951.5
Jens Woehrmann:1967.67
Santiago Ventura:Fail
Eduardo Schwank:1986.25
Pablo Campana:1972.92
Cristiano Caratti:1970.33
Andrew Foster:1972.17
Alejandro Hernandez:1977.75
Fritz Buehning:1960.17
Hans Gildemeister:1956.08
Doug Flach:1970.58
Alexander Waske:1975.17
Marzio Martelli:1971.92
Brian Baker:1985.25
Christophe Rochus:1978.92
Bjorn Phau:1979.75
Dick Norman:1971.17
George Bastl:1975.25
Arthur Rinderknech:1995.5
Lars Koslowski:1971.33
Ivo Minar:1984.33
Juan Albert Viloca Puig:1973.0
Somdev Devvarman:1985.08
Steve Campbell:1970.75
Laslo Djere:1995.42
Diego Perez:1962.08
Steve Denton:1956.67
Wolfgang Schranz:1976.17
Henri Kontinen:1990.42
Jean Philippe Fleurian:1965.67
Simone Vagnozzi:1983.33
Vincenzo Santopadre:1971.58
Lars Jonsson:1970.42
Arne Thoms:1971.0
Luis Herrera:1971.58
Bob Bryan:1978.25
Alejandro Tabilo:1997.42
Veli Paloheimo:1967.92
Lloyd Harris:1997.08
Amir Weintraub:1986.67
Jason Kubler:1993.33
Damir Dzumhur:1992.33
Ruben Ramirez Hidalgo:1978.0
Eric Korita:1963.0
Jerome Haehnel:1980.5
Tim Wilkison:1959.83
Frank Dancevic:1984.67
Jiri Vanek:1978.25
Jiri Vesely:1993.5
Lucas Arnold Ker:1974.75
Emilio Benfele Alvarez:1972.83
Albano Olivetti:1991.83
Markus Zoecke:1968.33
Carlos Kirmayr:1950.67
Teymuraz Gabashvili:1985.33
Claudio Mezzadri:1965.42
Dominik Meffert:1981.25
Grant Connell:1965.83
Grega Zemlja:1986.67
Zhizhen Zhang:1996.75
Ignacio Truyol:1996.58
Salvador Navarro:1977.0
Dominik Koepfer:1994.25
Rainer Eitzinger:1983.42
Marian Vajda:1965.17
Eduardo Bengoechea:1959.5
Daniel Brands:1987.5
Alex Antonitsch:1966.08
Rodolphe Gilbert:1968.92
Gerard Solves:1968.25
Cedrik Marcel Stebe:1990.75
Thierry Champion:1966.58
Mark Dickson:1959.92
Markus Hantschk:1977.83
Lawson Duncan:1964.75
Kim Warwick:1952.25
Oscar Hernandez:1978.25
Rajeev Ram:1984.17
Denis Gremelmayr:1981.58
Joern Renzenbrink:1972.5
Attila Savolt:1976.08
Jean Rene Lisnard:1979.67
Jean Francois Bachelot:1977.42
Gary Muller:1964.92
Claudio Pistolesi:1967.58
Andrew Sznajder:1967.33
Bruno Oresar:1967.25
Andrew Pattison:1949.0
Roger Rasheed:1969.17
Yibing Wu:1999.75
Juan Antonio Marin:1975.17
Jonathan Erlich:1977.25
Jozsef Krocsko:1968.25
Martin Vassallo Arguello:1980.08
Kevin Ullyett:1972.33
Tommy Ho:1973.42
Victor Amaya:1954.5
Mark Edmondson:1954.42
Gabriel Silberstein:1974.75
Federico Coria:1992.17
Amir Hadad:1978.08
Andreas Beck:1986.08
Rudolf Molleker:2000.75
Fernando Luna:1958.25
J J Wolf:Fail
Michal Mertinak:1979.75
Alexei Popyrin:1999.58
Kelly Evernden:1961.67
Nicklas Kroon:1966.08
Attila Balazs:1988.67
Ville Liukko:1974.33
Daniel Gimeno Traver:1985.58
Andrey Golubev:1987.5
John Lloyd:1954.58
Guillaume Rufin:1990.33
Tobias Kamke:1986.33
Lovro Zovko:1981.17
Joao Domingues:1993.75
Soon Woo Kwon:1997.92
Jordan Thompson:1994.25
Gilad Bloom:1967.17
Radu Albot:1989.83
Roberto Carballes Baena:1993.17
Jan Vacek:1976.33
Sherwood Stewart:1946.42
Mark Cox:1943.5
Nicolas Pereira:1970.67
Sam Warburg:1983.25
Pablo Arraya:1961.75
Illya Marchenko:1987.67
Thomas Schiessling:1974.83
Sebastian Ofner:1996.33
Vadim Borisov:1955.25
Johan Carlsson:1966.0
John Frawley:1965.5
Michael Kohlmann:1974.0
Federico Browne:1976.25
Mariano Hood:1973.58
Adam Pavlasek:1994.75
Chris Lewis:1957.17
Werner Eschauer:1974.25
Sam Groth:1987.75
Markus Naewie:1970.0
Christian Miniussi:1967.5
Yuri Schukin:1979.42
Wesley Whitehouse:1979.17
Scoville Jenkins:1986.67
Peter Fleming:1955.0
Boris Pashanski:1982.83
Ivan Navarro:1981.75
Tomas Zib:1976.0
Shlomo Glickstein:1958.0
Robert Kendrick:1979.83
Brian Dabul:1984.08
Jeremy Bates:1962.42
Greg Holmes:1963.58
Lukas Lacko:1987.83
Sergio Casal:1962.67
Andrej Kracman:1982.58
Zsombor Piros:1999.75
Jesse Levine:1987.75
Stephane Simian:1967.42
Tomas Martin Etcheverry:1999.5
Corentin Moutet:1999.25
Matthew Ebden:1987.83
Borna Gojo:1998.08
Axel Pretzsch:1976.42
Frederik Fetterlein:1970.5
Andre Sa:1977.33
Hugo Gaston:2000.67
Luca Van Assche:2004.33
Luka Gregorc:1984.08
Stefano Galvani:1977.42
Peter Bastiansen:1962.33
Louk Sorensen:1985.0
Maximo Gonzalez:1983.5
Bud Schultz:1959.58
Francesco Cancellotti:1963.08
David Rikl:1971.08
Gaston Etlis:1974.83
Francisco Maciel:1964.0
Amer Delic:1982.42
Eric Taino:1975.17
Zeljko Franulovic:1947.42
Martin Rodriguez:1969.92
Matthias Bachinger:1987.25
Peter Luczak:1979.58
Christian Saceanu:1968.5
Felix Barrientos:1967.83
Pavel Kotov:1998.83
Maxime Cressy:1997.33
Pedro Rebolledo:1960.92
Matt Anger:1963.42
Francisco Roig:1968.25
Steve Bryan:1970.58
James Duckworth:1992.0
Thomaz Koch:1945.33
Gijs Brouwer:1996.17
Harold Mayot:2002.08
Juan Manuel Cerundolo:2001.83
Paul Chamberlin:1962.17
Edwin Kempes:1976.42
Yuichi Sugita:1988.67
Pedro Martinez:1971.75
Davide Scala:1972.0
Flavio Cipolla:1983.75
Alexander Shevchenko:2000.83
Ben Testerman:1962.08
Nicolas Devilder:1980.17
Pavel Slozil:1955.92
Fernon Wibier:1971.08
Dimitri Poliakov:1968.0
Arvind Parmar:1978.17
Marius Copil:1990.75
Michael Mmoh:1998.0
Hans Schwaier:1964.17
Danny Sapsford:1969.25
Jonathan Canter:1965.42
Rik De Voest:1980.42
Timofey Skatov:2001.0
German Puentes:1972.92
Gregoire Barrere:1994.08
Mark Keil:1967.42
Brian Vahaly:1979.5
David Skoch:1976.83
Marty Davis:1979.0
Olivier Patience:1980.17
