-17.21670238124751,-2.059437730197739,-5.909778028995512,;-17.902782129635803,-2.2871376365963574,-6.440125017392204,;-17.659897578144744,-2.0019108596971664,-5.844479276094531,;
-17.53808251584396,-1.9756563099343878,-6.115940666490452,;-18.061905996484658,-2.147579593108862,-6.434262522459916,;-18.377658156477633,-1.9744035970562244,-6.189277263684499,;
-17.474816011617563,-1.975054517958886,-6.049993964835229,;-18.00480641445507,-2.1628730908812717,-6.427328195094051,;-17.895754570782103,-1.9491919300463567,-5.973288686951736,;
-17.555695551993093,-2.0448070385654833,-6.28543110848512,;-18.148871263900013,-2.261531496405706,-6.682132897578815,;-18.18677855421436,-1.9918260160798165,-6.276601345589239,;
-17.395729426223564,-1.9723941870710806,-6.088053212977343,;-17.823040184043414,-2.192112103771825,-6.422840587715395,;-18.293888132808696,-1.8481597107808165,-6.079244475164891,;
-17.61406776169293,-2.0201372810604714,-6.139045316556181,;-18.14327767858904,-2.1594944769176134,-6.522795921052007,;-18.266327169926477,-2.0281894261091025,-6.0047518399771675,;
-17.305283049495912,-2.090636985679689,-6.224262254834548,;-17.828893166991005,-2.2684514595227636,-6.56709383143023,;-17.831988403101015,-2.0403107863902705,-6.097334738577967,;
-17.897329093019234,-2.0456666810906703,-6.2264274121524,;-18.43680888800753,-2.202419693474663,-6.56514632421698,;-18.696359034785647,-2.0649509501254055,-6.379869192848535,;
-17.8644214579749,-2.1239905889789745,-6.216619098647296,;-18.23138695558988,-2.2287941852551736,-6.485607199502763,;-18.5216819434374,-2.108910408696596,-6.255323528050067,;
-17.594952093969706,-2.0297677527129165,-6.03784375668082,;-18.40490304832975,-2.2123259175176186,-6.478448882038162,;-18.10826962057879,-2.0571475546676172,-6.061190841524404,;
-17.13876610136289,-2.021020480539073,-5.960603096583481,;-17.74831803598035,-2.226993075945693,-6.401065446908031,;-17.7761235373883,-1.8648745224791097,-5.881658243398796,;
-16.47997425162288,-1.8303768716684576,-5.691181085178967,;-17.411265521504475,-2.0559400994135824,-6.190943541754556,;-16.80054502860181,-1.8032182635925613,-5.5958749369846545,;
-16.754693575281763,-2.024859466567692,-6.049729605441213,;-17.49249499032845,-2.1906616855201624,-6.379763439235856,;-17.200459291413495,-2.010949660779122,-6.066744849520275,;
-17.451495982785673,-1.9847152835093689,-6.22363361813754,;-18.174290674056422,-2.2000207802432614,-6.617280391508416,;-18.062385944819617,-1.9762020681685113,-6.202908143000823,;
-17.95577312932247,-1.8854125546613067,-5.95807894559819,;-18.979877614831544,-2.1186398170631033,-6.5266249441334265,;-18.57955650805095,-1.8081938661766233,-5.831472239708736,;
-16.4811067662947,-1.9220540283973095,-5.973954522636255,;-17.31062830923447,-2.1817917559501767,-6.435568817298316,;-16.899538426323844,-1.8389384968617313,-5.850514257924594,;
-16.827397269752392,-1.9539844824024464,-6.0413440625094665,;-17.442924804927365,-2.1913749487821246,-6.434395440268671,;-17.399303548981408,-1.8967411676950365,-6.022490366864645,;
-17.564490811871906,-2.026607452724587,-6.174659829767571,;-18.13210091390801,-2.239814506973573,-6.6117107699459305,;-18.14380534295922,-1.9725492239009161,-6.015649963649958,;
-17.88438833357921,-2.0652202095370167,-6.203431894460302,;-18.40637820775605,-2.2115501760536134,-6.517581123273892,;-18.517578919247754,-2.1036298488869054,-6.236662814911381,;
-17.33191433408939,-2.045391133502737,-6.081598591219408,;-18.045062242672465,-2.2378295844617195,-6.5320464322808585,;-17.932179342678566,-2.098226050343979,-6.049615000446921,;
-18.029739637792304,-2.0427652224320103,-6.1155041164471955,;-18.81090343129673,-2.2801079942379245,-6.599232656202084,;-18.425665658470155,-1.9836426412085029,-6.060151340686778,;
-18.43873543387648,-2.109436598828815,-6.198314381757018,;-19.042831196906278,-2.27108949560958,-6.645746320370275,;-19.093207873486232,-2.076267762252719,-6.1526990038584835,;
-17.04865414802239,-2.0339396041865623,-6.134933189436363,;-17.812154854857273,-2.2403047168420667,-6.651306212693312,;-17.52385967776362,-1.9595932698112508,-5.982334477129993,;
-18.361031484580398,-2.2169464324978128,-6.3885866483939076,;-19.005169923020212,-2.36709860479292,-6.735436248982361,;-18.933772460538208,-2.1541175670276154,-6.30077732094676,;
-17.12476853968159,-1.9680684757373301,-5.988208016348093,;-18.036259099874332,-2.2217228086489835,-6.463258549530744,;-17.458293469130126,-1.906568409616144,-5.9456214330191575,;
-18.577265573975552,-2.0670407866027425,-6.22018311058094,;-19.09024339017703,-2.2310885209381546,-6.643305405422754,;-19.29872051663293,-2.026078333549389,-6.16714662725156,;
-17.081417767454184,-1.9786501193746742,-5.858886238575692,;-17.86894725152606,-2.158196349665376,-6.401685565697795,;-17.48366954973673,-1.931557140461424,-5.679709789920724,;
